ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007052	mitotic spindle organization	15/140	106/18670	2.24957E-15	4.58298E-13	3.64021E-13	RCC1/KIF11/KIFC1/MYBL2/PLK1/RAN/STIL/TTK/AURKB/KIF23/NUP62/RACGAP1/WRAP73/CHMP4B/WDR62	15
BP	GO:0007088	regulation of mitotic nuclear division	17/140	164/18670	5.8486E-15	1.09223E-12	8.67542E-13	BUB1/BUB1B/CENPF/RCC1/KIF11/PLK1/TTK/AURKB/ESPL1/DLGAP5/OBSL1/NUP62/NUSAP1/CEP85/CCDC8/CDCA5/CHMP4B	17
BP	GO:0071103	DNA conformation change	21/140	327/18670	4.89025E-14	8.43004E-12	6.69588E-12	CENPA/DHX9/HELLS/MCM2/MCM3/MCM4/MCM5/MCM6/NASP/RAD51/RAD54L/G3BP1/OIP5/NCAPH/NUSAP1/MIS18A/ERCC6L/HJURP/CENPH/PIF1/CDCA5	21
BP	GO:0051783	regulation of nuclear division	17/140	188/18670	5.74175E-14	9.1909E-12	7.30022E-12	BUB1/BUB1B/CENPF/RCC1/KIF11/PLK1/TTK/AURKB/ESPL1/DLGAP5/OBSL1/NUP62/NUSAP1/CEP85/CCDC8/CDCA5/CHMP4B	17
BP	GO:1903311	regulation of mRNA metabolic process	20/140	324/18670	4.30576E-13	6.43281E-11	5.1095E-11	DHX9/HNRNPL/HNRNPM/YBX1/PSMC6/PTBP1/SRSF2/SRSF3/SRSF5/SRSF7/TRA2B/VIM/PSME3/HNRNPR/CPSF6/TARDBP/SERBP1/DAZAP1/YTHDF2/RC3H1	20
BP	GO:0051983	regulation of chromosome segregation	13/140	103/18670	8.10246E-13	1.13485E-10	9.01399E-11	BUB1/BUB1B/CDC42/CENPF/ECT2/PLK1/TTK/AURKB/ESPL1/DLGAP5/KIF2C/RACGAP1/CDCA5	13
BP	GO:1901990	regulation of mitotic cell cycle phase transition	22/140	444/18670	2.18144E-12	2.87565E-10	2.2841E-10	BUB1/BUB1B/CDC25A/CENPF/ORC1/PLK1/PSMC6/TTK/AURKB/ESPL1/DLGAP5/KIF14/PSME3/PLK4/BRD7/GTSE1/DTL/RFWD3/CLSPN/TICRR/CDCA5/TUBB	22
BP	GO:0000281	mitotic cytokinesis	11/140	73/18670	6.77817E-12	7.985E-10	6.3424E-10	CENPA/ECT2/INCENP/PLK1/KIF23/ESPL1/KIF20A/NUP62/RACGAP1/NUSAP1/CHMP4B	11
BP	GO:0000075	cell cycle checkpoint	16/140	216/18670	7.11986E-12	7.985E-10	6.3424E-10	BUB1/BUB1B/CENPF/MSH2/ORC1/PLK1/TTK/TIMELESS/AURKB/ZWINT/GTSE1/DTL/ZWILCH/RFWD3/CLSPN/TICRR	16
BP	GO:0006310	DNA recombination	18/140	292/18670	7.12629E-12	7.985E-10	6.3424E-10	MSH6/KPNA2/MCM2/MCM3/MCM4/MCM5/MCM6/MSH2/TONSL/RAD51/UNG/XRCC2/RAD54L/TIMELESS/EXO1/RFWD3/AUNIP/PIF1	18
BP	GO:0006261	DNA-dependent DNA replication	14/140	153/18670	9.05298E-12	9.66082E-10	7.67348E-10	MSH6/MCM2/MCM3/MCM4/MCM5/MCM6/TONSL/ORC1/RAD51/TIMELESS/WDHD1/ORC6/RFWD3/TICRR	14
BP	GO:1901987	regulation of cell cycle phase transition	22/140	480/18670	1.01059E-11	1.02942E-09	8.17657E-10	BUB1/BUB1B/CDC25A/CENPF/ORC1/PLK1/PSMC6/TTK/AURKB/ESPL1/DLGAP5/KIF14/PSME3/PLK4/BRD7/GTSE1/DTL/RFWD3/CLSPN/TICRR/CDCA5/TUBB	22
BP	GO:0061640	cytoskeleton-dependent cytokinesis	12/140	100/18670	1.17277E-11	1.14269E-09	9.07625E-10	CENPA/ECT2/INCENP/PLK1/AURKB/KIF23/ESPL1/KIF20A/NUP62/RACGAP1/NUSAP1/CHMP4B	12
BP	GO:0007093	mitotic cell cycle checkpoint	14/140	165/18670	2.52789E-11	2.36042E-09	1.87485E-09	BUB1/BUB1B/CENPF/MSH2/ORC1/PLK1/TTK/AURKB/ZWINT/GTSE1/ZWILCH/RFWD3/CLSPN/TICRR	14
BP	GO:0010948	negative regulation of cell cycle process	19/140	361/18670	2.8036E-11	2.51315E-09	1.99617E-09	BUB1/BUB1B/CCNF/CENPF/MSH6/ORC1/PLK1/PSMC6/RAD51/TTK/AURKB/ESPL1/PSME3/BRD7/GTSE1/DTL/RFWD3/CLSPN/TICRR	19
BP	GO:0000910	cytokinesis	14/140	171/18670	4.09528E-11	3.52982E-09	2.80369E-09	CDC42/CENPA/ECT2/INCENP/PLK1/AURKB/KIF23/ESPL1/KIF14/KIF20A/NUP62/RACGAP1/NUSAP1/CHMP4B	14
BP	GO:0008380	RNA splicing	21/140	469/18670	4.82958E-11	4.00855E-09	3.18395E-09	DHX9/HNRNPH1/HNRNPL/HNRNPM/YBX1/POLR2D/PTBP1/SRSF2/SRSF3/SRSF5/SRSF7/TRA2B/SNRPD1/SNRPD3/BUD31/SNRNP40/HNRNPR/RRP1B/TARDBP/SF3B3/DAZAP1	21
BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	19/140	379/18670	6.46291E-11	4.99427E-09	3.96689E-09	DHX9/HNRNPH1/HNRNPL/HNRNPM/YBX1/POLR2D/PTBP1/SRSF2/SRSF3/SRSF5/SRSF7/TRA2B/SNRPD1/SNRPD3/BUD31/SNRNP40/HNRNPR/SF3B3/DAZAP1	19
BP	GO:0000398	mRNA splicing, via spliceosome	19/140	379/18670	6.46291E-11	4.99427E-09	3.96689E-09	DHX9/HNRNPH1/HNRNPL/HNRNPM/YBX1/POLR2D/PTBP1/SRSF2/SRSF3/SRSF5/SRSF7/TRA2B/SNRPD1/SNRPD3/BUD31/SNRNP40/HNRNPR/SF3B3/DAZAP1	19
BP	GO:0000375	RNA splicing, via transesterification reactions	19/140	382/18670	7.39476E-11	5.52389E-09	4.38756E-09	DHX9/HNRNPH1/HNRNPL/HNRNPM/YBX1/POLR2D/PTBP1/SRSF2/SRSF3/SRSF5/SRSF7/TRA2B/SNRPD1/SNRPD3/BUD31/SNRNP40/HNRNPR/SF3B3/DAZAP1	19
BP	GO:0006913	nucleocytoplasmic transport	18/140	343/18670	1.01721E-10	7.35347E-09	5.84078E-09	DHX9/ECT2/KPNA2/POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/SNRPD1/SNRPD3/TRIM28/CPSF6/TARDBP/NUP62/GTSE1/NDC1/LRRK2	18
BP	GO:0051169	nuclear transport	18/140	346/18670	1.17231E-10	8.20986E-09	6.521E-09	DHX9/ECT2/KPNA2/POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/SNRPD1/SNRPD3/TRIM28/CPSF6/TARDBP/NUP62/GTSE1/NDC1/LRRK2	18
BP	GO:0006270	DNA replication initiation	8/140	37/18670	2.62631E-10	1.7835E-08	1.41662E-08	MCM2/MCM3/MCM4/MCM5/MCM6/ORC1/ORC6/TICRR	8
BP	GO:0090307	mitotic spindle assembly	9/140	56/18670	3.24938E-10	2.14173E-08	1.70115E-08	KIF11/KIFC1/MYBL2/PLK1/AURKB/KIF23/RACGAP1/WRAP73/CHMP4B	9
BP	GO:0000724	double-strand break repair via homologous recombination	12/140	134/18670	3.78938E-10	2.42628E-08	1.92717E-08	MCM2/MCM3/MCM4/MCM5/MCM6/TONSL/RAD51/XRCC2/RAD54L/TIMELESS/RFWD3/AUNIP	12
BP	GO:0000725	recombinational repair	12/140	135/18670	4.1327E-10	2.57261E-08	2.04339E-08	MCM2/MCM3/MCM4/MCM5/MCM6/TONSL/RAD51/XRCC2/RAD54L/TIMELESS/RFWD3/AUNIP	12
BP	GO:0051225	spindle assembly	11/140	108/18670	5.26E-10	3.18585E-08	2.53048E-08	RCC1/KIF11/KIFC1/MYBL2/PLK1/AURKB/KIF23/RACGAP1/WRAP73/CHMP4B/TUBB	11
BP	GO:0006302	double-strand break repair	15/140	248/18670	5.79248E-10	3.32845E-08	2.64375E-08	MCM2/MCM3/MCM4/MCM5/MCM6/MSH2/TONSL/RAD51/XRCC2/RAD54L/TIMELESS/RFWD3/TDP1/AUNIP/CDCA5	15
BP	GO:0065004	protein-DNA complex assembly	15/140	248/18670	5.79248E-10	3.32845E-08	2.64375E-08	CENPA/CENPF/HELLS/MCM2/MCM3/MCM4/MCM5/MCM6/NASP/PSMC6/RAD51/OIP5/MIS18A/HJURP/CENPH	15
BP	GO:0051321	meiotic cell cycle	15/140	249/18670	6.12486E-10	3.43145E-08	2.72556E-08	BUB1/BUB1B/CDC25A/FANCD2/MSH6/PLK1/RAD51/TTK/XRCC2/RAD54L/EXO1/ESPL1/NCAPH/YTHDF2/NDC1	15
BP	GO:0045930	negative regulation of mitotic cell cycle	17/140	338/18670	6.70077E-10	3.66254E-08	2.90911E-08	BUB1/BUB1B/CENPF/MSH2/ORC1/PLK1/PSMC6/TTK/AURKB/PSME3/ZWINT/BRD7/GTSE1/ZWILCH/RFWD3/CLSPN/TICRR	17
BP	GO:1902749	regulation of cell cycle G2/M phase transition	14/140	213/18670	7.58159E-10	4.04532E-08	3.21315E-08	CDC25A/CENPF/ORC1/PLK1/PSMC6/AURKB/KIF14/PSME3/PLK4/GTSE1/DTL/CLSPN/TICRR/TUBB	14
BP	GO:0032465	regulation of cytokinesis	10/140	89/18670	1.24846E-09	6.5065E-08	5.16803E-08	CDC42/ECT2/INCENP/PLK1/AURKB/KIF23/KIF14/KIF20A/NUP62/RACGAP1	10
BP	GO:0032392	DNA geometric change	11/140	119/18670	1.49887E-09	7.58466E-08	6.02441E-08	DHX9/MCM2/MCM3/MCM4/MCM5/MCM6/RAD51/RAD54L/G3BP1/ERCC6L/PIF1	11
BP	GO:0044839	cell cycle G2/M phase transition	15/140	266/18670	1.52302E-09	7.58466E-08	6.02441E-08	CDC25A/CENPF/ORC1/PLK1/PSMC6/CCNB2/AURKB/KIF14/PSME3/PLK4/GTSE1/DTL/CLSPN/TICRR/TUBB	15
BP	GO:1901988	negative regulation of cell cycle phase transition	15/140	267/18670	1.60349E-09	7.81176E-08	6.20479E-08	BUB1/BUB1B/CENPF/ORC1/PLK1/PSMC6/TTK/AURKB/PSME3/BRD7/GTSE1/DTL/RFWD3/CLSPN/TICRR	15
BP	GO:1903046	meiotic cell cycle process	13/140	188/18670	1.69814E-09	8.09686E-08	6.43124E-08	BUB1/BUB1B/CDC25A/FANCD2/MSH6/PLK1/RAD51/TTK/RAD54L/ESPL1/NCAPH/YTHDF2/NDC1	13
BP	GO:0007098	centrosome cycle	11/140	124/18670	2.329E-09	1.08735E-07	8.63671E-08	CCNF/KIF11/PLK1/STIL/XRCC2/PLK4/NUP62/CEP85/CHMP4B/SASS6/WDR62	11
BP	GO:0010389	regulation of G2/M transition of mitotic cell cycle	13/140	196/18670	2.82391E-09	1.29151E-07	1.02583E-07	CDC25A/CENPF/ORC1/PLK1/PSMC6/AURKB/KIF14/PSME3/PLK4/DTL/CLSPN/TICRR/TUBB	13
BP	GO:0000082	G1/S transition of mitotic cell cycle	15/140	279/18670	2.92442E-09	1.31072E-07	1.04109E-07	CDC25A/RCC1/MCM2/MCM3/MCM4/MCM5/MCM6/NASP/ORC1/KIF14/PSME3/ORC6/BRD7/GTSE1/RFWD3	15
BP	GO:0030071	regulation of mitotic metaphase/anaphase transition	8/140	51/18670	3.96591E-09	1.74267E-07	1.38418E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1/DLGAP5	8
BP	GO:0071824	protein-DNA complex subunit organization	15/140	288/18670	4.50163E-09	1.94003E-07	1.54094E-07	CENPA/CENPF/HELLS/MCM2/MCM3/MCM4/MCM5/MCM6/NASP/PSMC6/RAD51/OIP5/MIS18A/HJURP/CENPH	15
BP	GO:0051303	establishment of chromosome localization	9/140	75/18670	4.77629E-09	2.01956E-07	1.60411E-07	CENPF/KIFC1/DLGAP5/KIF14/KIF2C/NUP62/CDCA8/CDCA5/CHMP4B	9
BP	GO:0031023	microtubule organizing center organization	11/140	133/18670	4.90723E-09	2.036E-07	1.61717E-07	CCNF/KIF11/PLK1/STIL/XRCC2/PLK4/NUP62/CEP85/CHMP4B/SASS6/WDR62	11
BP	GO:0051302	regulation of cell division	12/140	168/18670	5.11388E-09	2.036E-07	1.61717E-07	CDC42/ECT2/INCENP/YBX1/PLK1/AURKB/KIF23/KIF14/KIF20A/ORC6/NUP62/RACGAP1	12
BP	GO:0000086	G2/M transition of mitotic cell cycle	14/140	247/18670	5.16456E-09	2.036E-07	1.61717E-07	CDC25A/CENPF/ORC1/PLK1/PSMC6/CCNB2/AURKB/KIF14/PSME3/PLK4/DTL/CLSPN/TICRR/TUBB	14
BP	GO:0000380	alternative mRNA splicing, via spliceosome	9/140	76/18670	5.38369E-09	2.036E-07	1.61717E-07	DHX9/HNRNPL/HNRNPM/PTBP1/SRSF2/SRSF3/SRSF5/SRSF7/TRA2B	9
BP	GO:0050000	chromosome localization	9/140	76/18670	5.38369E-09	2.036E-07	1.61717E-07	CENPF/KIFC1/DLGAP5/KIF14/KIF2C/NUP62/CDCA8/CDCA5/CHMP4B	9
BP	GO:1901991	negative regulation of mitotic cell cycle phase transition	14/140	248/18670	5.43889E-09	2.036E-07	1.61717E-07	BUB1/BUB1B/CENPF/ORC1/PLK1/PSMC6/TTK/AURKB/PSME3/BRD7/GTSE1/RFWD3/CLSPN/TICRR	14
BP	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	8/140	53/18670	5.45113E-09	2.036E-07	1.61717E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1/DLGAP5	8
BP	GO:0033044	regulation of chromosome organization	16/140	342/18670	6.19901E-09	2.27738E-07	1.80889E-07	BUB1/BUB1B/CENPF/MAPT/MCM2/PLK1/EXOSC10/TTK/AURKB/ESPL1/DLGAP5/TRIM28/BRD7/PIF1/CDCA5/LRRK2	16
BP	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	8/140	54/18670	6.35898E-09	2.29846E-07	1.82564E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1/DLGAP5	8
BP	GO:0044843	cell cycle G1/S phase transition	15/140	298/18670	7.13971E-09	2.50002E-07	1.98573E-07	CDC25A/RCC1/MCM2/MCM3/MCM4/MCM5/MCM6/NASP/ORC1/KIF14/PSME3/ORC6/BRD7/GTSE1/RFWD3	15
BP	GO:0090068	positive regulation of cell cycle process	15/140	298/18670	7.13971E-09	2.50002E-07	1.98573E-07	CDC25A/CDC42/ECT2/AURKB/KIF23/ESPL1/DLGAP5/KIF14/PLK4/NUP62/RACGAP1/NUSAP1/GTSE1/DTL/CDCA5	15
BP	GO:0033045	regulation of sister chromatid segregation	9/140	80/18670	8.5442E-09	2.86745E-07	2.27758E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1/DLGAP5/CDCA5	9
BP	GO:0034508	centromere complex assembly	8/140	56/18670	8.57292E-09	2.86745E-07	2.27758E-07	CENPA/CENPF/HELLS/NASP/OIP5/MIS18A/HJURP/CENPH	8
BP	GO:0044784	metaphase/anaphase transition of cell cycle	8/140	56/18670	8.57292E-09	2.86745E-07	2.27758E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1/DLGAP5	8
BP	GO:0000727	double-strand break repair via break-induced replication	5/140	11/18670	9.833E-09	3.17261E-07	2.51997E-07	MCM2/MCM3/MCM4/MCM5/MCM6	5
BP	GO:0010965	regulation of mitotic sister chromatid separation	8/140	57/18670	9.90998E-09	3.17261E-07	2.51997E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1/DLGAP5	8
BP	GO:0051310	metaphase plate congression	8/140	57/18670	9.90998E-09	3.17261E-07	2.51997E-07	CENPF/KIFC1/KIF14/KIF2C/NUP62/CDCA8/CDCA5/CHMP4B	8
BP	GO:0032508	DNA duplex unwinding	10/140	110/18670	1.00768E-08	3.18056E-07	2.52628E-07	DHX9/MCM2/MCM3/MCM4/MCM5/MCM6/RAD51/G3BP1/ERCC6L/PIF1	10
BP	GO:0032506	cytokinetic process	7/140	39/18670	1.44319E-08	4.49192E-07	3.56788E-07	ECT2/AURKB/KIF23/KIF20A/NUP62/RACGAP1/CHMP4B	7
BP	GO:0051306	mitotic sister chromatid separation	8/140	60/18670	1.50576E-08	4.62249E-07	3.67159E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1/DLGAP5	8
BP	GO:0032467	positive regulation of cytokinesis	7/140	40/18670	1.73843E-08	5.26462E-07	4.18163E-07	CDC42/ECT2/AURKB/KIF23/KIF14/NUP62/RACGAP1	7
BP	GO:1905818	regulation of chromosome separation	8/140	62/18670	1.9649E-08	5.87112E-07	4.66336E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1/DLGAP5	8
BP	GO:0051304	chromosome separation	9/140	90/18670	2.44254E-08	7.20229E-07	5.7207E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1/DLGAP5/NCAPH	9
BP	GO:0007080	mitotic metaphase plate congression	7/140	44/18670	3.48509E-08	1.00129E-06	7.95316E-07	KIFC1/KIF14/KIF2C/NUP62/CDCA8/CDCA5/CHMP4B	7
BP	GO:0033046	negative regulation of sister chromatid segregation	7/140	44/18670	3.48509E-08	1.00129E-06	7.95316E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1	7
BP	GO:0051985	negative regulation of chromosome segregation	7/140	45/18670	4.1014E-08	1.15876E-06	9.20389E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1	7
BP	GO:0033047	regulation of mitotic sister chromatid segregation	8/140	68/18670	4.13658E-08	1.15876E-06	9.20389E-07	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB/ESPL1/DLGAP5	8
BP	GO:1902969	mitotic DNA replication	5/140	15/18670	6.23889E-08	1.72609E-06	1.37102E-06	MCM2/MCM3/MCM4/MCM6/RAD51	5
BP	GO:0031055	chromatin remodeling at centromere	7/140	48/18670	6.53113E-08	1.78491E-06	1.41773E-06	CENPA/HELLS/NASP/OIP5/MIS18A/HJURP/CENPH	7
BP	GO:0006405	RNA export from nucleus	10/140	135/18670	7.21993E-08	1.92618E-06	1.52994E-06	DHX9/POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/CPSF6/NUP62/NDC1	10
BP	GO:0043484	regulation of RNA splicing	10/140	135/18670	7.21993E-08	1.92618E-06	1.52994E-06	HNRNPH1/HNRNPL/PTBP1/SRSF2/SRSF3/SRSF5/SRSF7/TRA2B/RRP1B/DAZAP1	10
BP	GO:0050684	regulation of mRNA processing	10/140	137/18670	8.30052E-08	2.18841E-06	1.73823E-06	DHX9/HNRNPL/PTBP1/SRSF2/SRSF3/SRSF5/SRSF7/TRA2B/CPSF6/DAZAP1	10
BP	GO:0043488	regulation of mRNA stability	11/140	177/18670	9.58249E-08	2.49702E-06	1.98335E-06	DHX9/HNRNPM/YBX1/PSMC6/VIM/PSME3/HNRNPR/TARDBP/SERBP1/YTHDF2/RC3H1	11
BP	GO:0043487	regulation of RNA stability	11/140	183/18670	1.34515E-07	3.46492E-06	2.75214E-06	DHX9/HNRNPM/YBX1/PSMC6/VIM/PSME3/HNRNPR/TARDBP/SERBP1/YTHDF2/RC3H1	11
BP	GO:2001251	negative regulation of chromosome organization	10/140	146/18670	1.51296E-07	3.8529E-06	3.06031E-06	BUB1/BUB1B/CENPF/MCM2/PLK1/EXOSC10/TTK/AURKB/ESPL1/PIF1	10
BP	GO:0007094	mitotic spindle assembly checkpoint	6/140	34/18670	1.80638E-07	4.40011E-06	3.49496E-06	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:0031577	spindle checkpoint	6/140	34/18670	1.80638E-07	4.40011E-06	3.49496E-06	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:0071173	spindle assembly checkpoint	6/140	34/18670	1.80638E-07	4.40011E-06	3.49496E-06	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:0071174	mitotic spindle checkpoint	6/140	34/18670	1.80638E-07	4.40011E-06	3.49496E-06	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:0045787	positive regulation of cell cycle	15/140	389/18670	2.37507E-07	5.72315E-06	4.54583E-06	CDC25A/CDC42/ECT2/AURKB/KIF23/ESPL1/DLGAP5/KIF14/PLK4/NUP62/RACGAP1/NUSAP1/GTSE1/DTL/CDCA5	15
BP	GO:0051168	nuclear export	11/140	194/18670	2.42628E-07	5.78434E-06	4.59444E-06	DHX9/POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/CPSF6/NUP62/GTSE1/NDC1	11
BP	GO:0046605	regulation of centrosome cycle	7/140	58/18670	2.50575E-07	5.91093E-06	4.69498E-06	CCNF/KIF11/STIL/PLK4/NUP62/CEP85/CHMP4B	7
BP	GO:0045841	negative regulation of mitotic metaphase/anaphase transition	6/140	36/18670	2.58412E-07	6.0323E-06	4.79139E-06	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:0051781	positive regulation of cell division	8/140	87/18670	2.90149E-07	6.70333E-06	5.32438E-06	CDC42/ECT2/YBX1/AURKB/KIF23/KIF14/NUP62/RACGAP1	8
BP	GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	6/140	37/18670	3.06534E-07	7.00962E-06	5.56766E-06	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:0061013	regulation of mRNA catabolic process	11/140	199/18670	3.13261E-07	7.0911E-06	5.63238E-06	DHX9/HNRNPM/YBX1/PSMC6/VIM/PSME3/HNRNPR/TARDBP/SERBP1/YTHDF2/RC3H1	11
BP	GO:0045132	meiotic chromosome segregation	8/140	90/18670	3.77705E-07	8.46436E-06	6.72314E-06	BUB1/BUB1B/FANCD2/PLK1/TTK/ESPL1/NCAPH/NDC1	8
BP	GO:0046824	positive regulation of nucleocytoplasmic transport	7/140	62/18670	3.99753E-07	8.86978E-06	7.04516E-06	DHX9/ECT2/RAN/TRIM28/CPSF6/TARDBP/GTSE1	7
BP	GO:2000816	negative regulation of mitotic sister chromatid separation	6/140	39/18670	4.24928E-07	9.33592E-06	7.41541E-06	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:1905819	negative regulation of chromosome separation	6/140	40/18670	4.96847E-07	1.08101E-05	8.5863E-06	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:0006323	DNA packaging	11/140	210/18670	5.35888E-07	1.15473E-05	9.17192E-06	CENPA/HELLS/MCM2/NASP/OIP5/NCAPH/NUSAP1/MIS18A/HJURP/CENPH/CDCA5	11
BP	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	7/140	65/18670	5.55406E-07	1.1854E-05	9.41546E-06	HNRNPL/PTBP1/SRSF2/SRSF3/SRSF5/SRSF7/TRA2B	7
BP	GO:0006402	mRNA catabolic process	14/140	364/18670	6.32033E-07	1.33621E-05	1.06134E-05	DHX9/HNRNPM/YBX1/EXOSC10/POLR2D/PSMC6/VIM/PSME3/HNRNPR/TARDBP/SERBP1/MRTO4/YTHDF2/RC3H1	14
BP	GO:0033048	negative regulation of mitotic sister chromatid segregation	6/140	42/18670	6.70718E-07	1.40475E-05	1.11577E-05	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:0051298	centrosome duplication	7/140	67/18670	6.8519E-07	1.42177E-05	1.12929E-05	CCNF/STIL/PLK4/NUP62/CHMP4B/SASS6/WDR62	7
